id;first_name;last_name;email;age;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;system;2022-11-09T21:51:33;11488;51073
2;Emmet;Hessel;Carolyn_Nitzsche@gmail.com;override;Small Indiana Sleek;2022-11-09T20:14:32;71090;65309
3;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;Africa synergy Albania;2022-11-10T00:24:53;80529;94809
4;Kelli;Cassin;Ignatius33@yahoo.com;Concrete;Directives payment frictionless;2022-11-09T14:58:29;76252;64329
5;Brice;Frami;Lelia.Lockman72@gmail.com;Devolved rich;Kiribati Group;2022-11-10T06:30:57;422;8893
6;June;Nienow;Vida4@yahoo.com;Electronics;North bluetooth Bike;2022-11-10T09:03:17;43323;90189
7;Raphael;Abshire;Cindy22@hotmail.com;back Mandatory Alaska;Small architecture;2022-11-10T05:16:48;23710;65131
8;Guido;Denesik;Magnolia62@gmail.com;Chad Investor Soft;Wooden;2022-11-10T03:54:20;32719;68452
9;Kaia;Lesch;Lorena.Waters@gmail.com;redundant;multi-state payment;2022-11-10T07:17:33;3534;64377
10;Adelle;Marquardt;Trenton88@gmail.com;BEAC;SMTP customized Movies;2022-11-10T05:38:06;2811;43399
